id,label
20056,4
20057,5
20058,3
20059,3
20060,5
20061,5
20062,4
20064,5
20066,0
20067,0
20068,2
20069,0
20070,0
20071,2
20072,1
20073,3
20074,3
20075,0
20076,4
20077,1
20078,5
20079,0
20080,0
20081,1
20082,4
20083,0
20084,0
20085,1
20087,3
20088,0
20089,4
20090,0
20091,4
20092,3
20093,3
20094,5
20095,4
20096,5
20098,4
20099,1
20100,4
20106,1
20107,2
20108,4
20109,2
20111,3
20112,3
20113,5
20114,1
20115,3
20116,3
20117,4
20120,3
20123,2
20124,1
20126,0
20127,0
20129,3
20131,5
20133,2
20134,4
20136,4
20137,0
20138,1
20140,5
20142,3
20144,2
20147,3
20148,1
20150,4
20151,4
20152,0
20153,3
20154,1
20157,3
20158,0
20159,4
20160,3
20161,0
20162,0
20163,2
20164,2
20165,1
20166,4
20167,1
20168,3
20170,1
20171,1
20172,1
20173,4
20174,3
20175,4
20176,2
20177,5
20178,0
20179,3
20181,5
20183,0
20184,0
20185,1
20186,5
20187,3
20189,2
20190,1
20191,0
20194,0
20195,3
20198,1
20202,1
20204,2
20206,5
20207,5
20209,0
20210,2
20211,2
20212,1
20216,0
20218,5
20221,0
20222,0
20225,5
20226,2
20227,2
20228,5
20229,4
20230,3
20231,5
20232,2
20234,0
20236,1
20238,4
20240,1
20241,5
20242,4
20243,3
20245,5
20246,0
20247,3
20249,3
20250,5
20252,4
20253,3
20255,1
20256,1
20257,1
20259,0
20260,4
20261,4
20264,0
20265,1
20266,0
20267,1
20268,5
20269,1
20270,0
20271,2
20272,3
20273,1
20274,4
20275,1
20276,2
20277,2
20281,1
20282,2
20283,1
20285,1
20286,5
20287,2
20288,4
20289,2
20292,3
20293,5
20294,0
20296,0
20297,0
20299,4
20300,1
20303,4
20304,1
20305,1
20306,4
20307,3
20309,5
20310,3
20311,4
20313,1
20314,2
20315,4
20316,2
20317,1
20318,0
20319,4
20320,3
20322,4
20326,3
20327,1
20328,4
20329,2
20330,4
20331,4
20332,0
20333,1
20334,2
20335,0
20336,0
20337,0
20341,1
20342,1
20343,0
20344,5
20345,3
20346,0
20347,1
20348,5
20350,5
20352,3
20353,0
20355,3
20356,2
20357,0
20358,2
20359,0
20362,2
20363,2
20365,0
20366,5
20367,0
20370,0
20371,1
20372,1
20373,2
20374,5
20378,0
20379,2
20380,3
20382,1
20383,0
20384,4
20386,3
20387,1
20388,0
20389,1
20390,5
20392,1
20393,1
20394,5
20395,1
20397,2
20398,2
20400,4
20401,2
20402,1
20405,0
20406,3
20408,0
20409,3
20411,4
20413,2
20414,2
20416,2
20417,0
20418,1
20419,1
20421,2
20423,3
20424,1
20425,0
20427,2
20430,5
20431,5
20432,0
20433,3
20435,2
20436,5
20438,2
20439,4
20440,0
20441,3
20443,1
20444,2
20446,3
20447,4
20448,0
20449,5
20450,4
20454,0
20455,5
20457,3
20458,3
20459,5
20460,5
20461,1
20464,0
20465,5
20467,3
20472,1
20473,2
20474,0
20475,3
20476,1
20477,3
20479,5
20480,5
20482,1
20484,0
20485,4
20486,3
20487,0
20489,1
20490,3
20491,5
20493,0
20494,3
20495,3
20497,2
20498,0
20502,4
20504,2
20508,3
20510,4
20511,1
20512,2
20513,1
20515,5
20516,0
20517,3
20519,1
20520,2
20522,2
20524,5
20527,0
20528,2
20530,2
20531,2
20533,4
20534,1
20535,5
20536,5
20537,0
20539,3
20540,3
20541,3
20544,4
20545,2
20546,5
20549,5
20550,5
20553,5
20554,2
20555,1
20556,4
20558,0
20559,2
20560,3
20561,0
20563,4
20564,0
20565,2
20566,1
20567,0
20568,4
20570,2
20571,3
20572,0
20574,0
20575,2
20576,2
20577,2
20580,5
20581,0
20582,4
20584,2
20585,2
20586,1
20587,5
20589,2
20590,1
20591,0
20592,0
20595,1
20596,4
20597,5
20598,3
20599,2
20601,5
20602,0
20603,3
20605,2
20606,5
20608,2
20611,1
20612,2
20613,2
20615,3
20616,3
20617,3
20619,4
20620,4
20621,0
20622,5
20624,3
20626,2
20627,3
20628,5
20629,5
20630,5
20631,3
20633,1
20634,1
20635,5
20637,5
20638,4
20639,1
20640,1
20642,4
20643,3
20644,5
20646,5
